id,input_r,input_g,input_b,input_in_destination,modified,branch,output_r,output_g,output_b,mapping_coordinate_space,input_Lstar,input_Cstar,input_Lab_hue_degrees,output_Lstar,output_Cstar,output_Lab_hue_degrees,input_OkLab_L,input_OkLab_a,input_OkLab_b,input_OkLCh_C,input_OkLCh_h_degrees,input_OkLCh_hue_defined,output_OkLab_L,output_OkLab_a,output_OkLab_b,output_OkLCh_C,output_OkLCh_h_degrees,output_OkLCh_hue_defined,input_mapping_chroma,output_mapping_chroma,boundary_diagnostics_applicable,source_connected_boundary_mapping_chroma,destination_connected_boundary_mapping_chroma,knee_mapping_chroma,destination_boundary_utilization,local_minde_applicable,local_minde_iterations,local_minde_final_delta_e_ok,local_minde_returned_clipped_color,delta_e_2000,delta_e_ok,delta_Lstar,delta_Cstar,delta_Lab_hue_degrees,input_IPT_hue_degrees,output_IPT_hue_degrees,delta_IPT_hue_degrees,IPT_hue_defined,destination_margin_before,destination_margin_after,output_in_destination
p3_r100_g050_b025,1,0.5,0.25,false,true,CSS_Color_4_local_MINDE_binary_search,0.99999999999999956,0.49027908343842846,0.23354651911819982,OkLab_D65,68.09931947818346,87.290075112815984,50.902968116965681,66.716104046710441,72.701102437233928,51.340260197357694,0.74570364492983998,0.14998793162414817,0.14050079907315047,0.2055160679194791,43.129429962435751,true,0.73009334471498133,0.12508246078134455,0.12424281875899888,0.17630059559825101,44.80704819661176,true,0.2055160679194791,0.17630059559825101,false,0,0,0,0,true,9,0.019909575384784384,true,3.3757175056252668,0.033589966873980359,-1.383215431473019,-14.588972675582056,0.43729208039201239,47.556587687003507,48.098256164609786,0.54166847760627945,true,-0.17679372440919416,8.8817841970012523e-16,true
p3_r100_g050_b050,1,0.5,0.5,false,true,CSS_Color_4_local_MINDE_binary_search,0.99999999999999956,0.49097378731876962,0.50290601569296389,OkLab_D65,69.040440473789474,64.851683322846597,24.589110697688231,67.684258509386794,54.163393459636509,23.783925671899969,0.7558376695637179,0.17576282897298995,0.066498289936090402,0.18792177791041906,20.723686992031389,true,0.74046819194883351,0.14853795730728844,0.054802357273339111,0.15832505526206694,20.251294156582027,true,0.18792177791041906,0.15832505526206694,false,0,0,0,0,true,11,0.019933878990372175,true,3.1317337966986671,0.033379774118767809,-1.3561819644026798,-10.688289863210088,-0.80518502578826201,25.014460195491818,24.739000820896578,-0.27545937459523984,true,-0.17679372440919461,8.8817841970012523e-16,true
p3_r100_g050_b075,1,0.5,0.75,false,true,CSS_Color_4_local_MINDE_binary_search,0.99999999999999989,0.49479137553325248,0.75504840190872247,OkLab_D65,70.764903520956366,66.635074975889609,351.22117337532404,69.510935140500379,57.437547677532095,348.25884536535227,0.77438874433197391,0.19996567842643867,-0.026114274199139552,0.2016636503326609,352.5596346198875,true,0.75962070478645027,0.16936295372509827,-0.030408432138497813,0.17207115632671097,349.82122707481318,true,0.2016636503326609,0.17207115632671097,false,0,0,0,0,true,11,0.019944306993204847,true,2.9494247749231768,0.034249986037549467,-1.2539683804559871,-9.1975272983575138,-2.9623280099717704,355.81908524218136,352.46170190841258,-3.3573833337687802,true,-0.17679372440919439,-2.2204460492503131e-16,true
p3_r100_g050_b100,1,0.5,1,false,true,CSS_Color_4_local_MINDE_binary_search,0.99999999999999989,0.50332688563723815,0.99952330738655715,OkLab_D65,73.306235982197734,87.195037175249368,329.82403689859888,72.231174135895628,77.142805966626241,327.0781272889634,0.80145943927257257,0.21394365910220861,-0.12011339747518841,0.24535508456739721,330.68904065065175,true,0.78748450939843306,0.18000482050988686,-0.11510379366138514,0.21366005410941771,327.40318352081169,true,0.24535508456739721,0.21366005410941771,false,0,0,0,0,true,11,0.019944850825520822,true,2.7548371540908305,0.037043751974578078,-1.0750618463021056,-10.052231208623127,-2.7459096096354756,327.8050850018347,322.89959870128683,-4.9054863005478637,true,-0.17679372440919439,0,true
p3_r100_g075_b000,1,0.75,0,false,true,CSS_Color_4_local_MINDE_binary_search,0.99999999999999989,0.74179958729028495,1.0589093961356765e-15,OkLab_D65,81.314833033663788,113.10332588878339,82.161101854178824,80.586155923783082,83.504218002209313,82.199179858618692,0.84456303924218812,0.02534847860941649,0.19856468440947983,0.2001761206099478,82.725053106192618,true,0.83681271732615115,0.020515204194156832,0.17078969367490546,0.17201742082910088,83.150466586922064,true,0.2001761206099478,0.17201742082910088,false,0,0,0,0,true,9,0.019996549832089122,true,5.4802955547448926,0.029238299226889017,-0.72867710988070655,-29.599107886574075,0.038078004439867641,82.037628776636623,79.420630548583148,-2.6169982280534754,true,-0.10740408582051764,-2.2204460492503131e-16,true
p3_r100_g075_b025,1,0.75,0.25,false,true,CSS_Color_4_local_MINDE_initial_clip,0.99999999999999956,0.73696193451530578,0,OkLab_D65,81.535950693987999,87.21073502348851,78.894662349985069,80.29018876189204,83.393996076848865,81.744237663561876,0.84698199399155949,0.03524167552574007,0.174691543733623,0.17821086147005144,78.594427427343319,true,0.83449256716879849,0.022338382945721803,0.17029603700585527,0.17175489388232681,82.526960200553134,true,0.17821086147005144,0.17175489388232681,false,0,0,0,0,true,0,0.018487866863446081,true,2.6971142947551732,0.018487866863446081,-1.2457619320959594,-3.8167389466396457,2.8495753135768069,76.294151161412088,78.970710717964039,2.6765595565519504,true,-0.10740408582051764,-3.1040505781842676e-16,true
p3_r100_g075_b050,1,0.75,0.5,false,true,CSS_Color_4_local_MINDE_initial_clip,0.99999999999999956,0.73696193451530534,0.45453895409358491,OkLab_D65,82.23842076139556,51.874958344378427,66.041744297504806,80.991386798568044,48.453368819743503,70.232408910400054,0.85470201398704948,0.059212656003255308,0.11245290185730027,0.12708970755764393,62.230720465658592,true,0.8422174271227747,0.046095911280792053,0.10867684033123991,0.11804867073029017,67.015489888388117,true,0.12708970755764393,0.11804867073029017,false,0,0,0,0,true,0,0.01849790642030831,true,2.8786289345756013,0.01849790642030831,-1.2470339628275156,-3.4215895246349248,4.1906646128952474,60.938438944950171,64.514904845320132,3.5764659003699606,true,-0.10740408582051764,6.6613381477509392e-16,true
p3_r100_g075_b075,1,0.75,0.75,false,true,CSS_Color_4_local_MINDE_initial_clip,0.99999999999999978,0.73696193451530556,0.74394923355367171,OkLab_D65,83.539725297318597,30.503928775471909,20.197382452973311,82.325690297311183,25.87999574056348,19.489924584150447,0.86902979284701165,0.087099010593573306,0.027645066529574578,0.091381001033059378,17.609342977660479,true,0.85694062509171454,0.07432258860438401,0.022781840495461756,0.077735831076905418,17.041688335490015,true,0.091381001033059378,0.077735831076905418,false,0,0,0,0,true,0,0.018249271309299667,true,2.2597298640450134,0.018249271309299667,-1.2140350000074136,-4.6239330349084291,-0.7074578688228641,22.861236467429201,22.399660999328461,-0.46157546810074024,true,-0.10740408582051764,3.3306690738754696e-16,true
p3_r100_g075_b100,1,0.75,1,false,true,CSS_Color_4_local_MINDE_initial_clip,0.999999999999999,0.73696193451530612,0.99999999999999989,OkLab_D65,85.489286619707713,45.830450425127559,328.87354971951663,84.181939178728328,42.036183064787977,325.88851537483265,0.89039294105248123,0.11010939455771598,-0.063823866740117918,0.12726965363167728,329.90168131240341,true,0.8773223947012202,0.096161595552528636,-0.063638113434438828,0.11531201993158649,326.50408462709521,true,0.12726965363167728,0.11531201993158649,false,0,0,0,0,true,0,0.019115825467401062,true,1.9888163411487514,0.019115825467401062,-1.3073474409793846,-3.7942673603395818,-2.9850343446839815,325.44990473926555,320.63994704761183,-4.8099576916537217,true,-0.10740408582051741,-8.8817841970012523e-16,true
p3_r100_g100_b000,1,1,0,false,true,CSS_Color_4_local_MINDE_binary_search,0.99623327296097297,0.99901389584961087,4.449224177744923e-15,OkLab_D65,96.849445070368049,127.62829872435073,100.80247297196344,96.999342370131743,96.842157113717604,103.03025054998369,0.96476411970969556,-0.08472854571071857,0.22991624488066359,0.24503143904054148,110.22980955562501,true,0.96668892582017008,-0.072088695684743534,0.19831288055888513,0.21100895393582281,109.97670673558905,true,0.24503143904054148,0.21100895393582281,false,0,0,0,0,true,11,0.019902116662799473,true,5.4366976680230943,0.034091689950736102,0.14989729976369404,-30.786141610633123,2.2277775780202518,100.74934350482086,99.601620758568757,-1.1477227462521,true,-0.098273600140966338,3.4436719641988566e-16,true
