id,input_r,input_g,input_b,input_in_destination,modified,branch,output_r,output_g,output_b,mapping_coordinate_space,input_Lstar,input_Cstar,input_Lab_hue_degrees,output_Lstar,output_Cstar,output_Lab_hue_degrees,input_OkLab_L,input_OkLab_a,input_OkLab_b,input_OkLCh_C,input_OkLCh_h_degrees,input_OkLCh_hue_defined,output_OkLab_L,output_OkLab_a,output_OkLab_b,output_OkLCh_C,output_OkLCh_h_degrees,output_OkLCh_hue_defined,input_mapping_chroma,output_mapping_chroma,boundary_diagnostics_applicable,source_connected_boundary_mapping_chroma,destination_connected_boundary_mapping_chroma,knee_mapping_chroma,destination_boundary_utilization,local_minde_applicable,local_minde_iterations,local_minde_final_delta_e_ok,local_minde_returned_clipped_color,delta_e_2000,delta_e_ok,delta_Lstar,delta_Cstar,delta_Lab_hue_degrees,input_IPT_hue_degrees,output_IPT_hue_degrees,delta_IPT_hue_degrees,IPT_hue_defined,destination_margin_before,destination_margin_after,output_in_destination
p3_r000_g100_b100,0,1,1,false,true,fixed_Lh_radial_boundary_clip,0,0.9919935392454603,0.97913838900161621,CIELAB_D65,90.368791338590583,66.912011171053422,194.36922947246444,90.368791338590583,50.297413588684478,194.36922947246444,0.89290161619444186,-0.20028445697591818,-0.046746550774794178,0.20566745905825459,193.13768775138286,true,0.89880706680558764,-0.14992009991079205,-0.03485202744143779,0.15391783578923077,193.08713897248467,true,66.912011171053422,50.297413588684478,true,66.912011171129436,50.297413588684478,0,1,false,0,0,false,4.5687042116895293,0.052085722562252718,0,-16.614597582368944,0,200.55871878735934,200.12440401945679,-0.43431476790254919,true,-0.22494017628056048,-8.8102621559058009e-13,true
p3_r025_g000_b000,0.25,0,0,false,true,fixed_Lh_radial_boundary_clip,0.25911515855684908,0,0.0069518913567933596,CIELAB_D65,10.296118002499211,39.124397804325667,26.983273878416071,10.296118002499211,34.185732652918261,26.983273878416071,0.24032419087434279,0.097097581018264725,0.053729353865904321,0.11097199514492857,28.958132730803928,true,0.23853773415444579,0.086367096853125311,0.044910871779846234,0.097346093002559253,27.474421921894891,true,39.124397804325667,34.185732652918261,true,39.124397806955699,34.185732652918261,0,1,false,0,0,false,1.8730779938347384,0.014003583267596199,0,-4.938665151407406,0,44.022228239691849,32.785869094169243,-11.236359145522606,true,-0.0021396933360372716,-9.7300724063551508e-13,true
p3_r025_g000_b025,0.25,0,0.25,false,true,fixed_Lh_radial_boundary_clip,0.26441852626913998,0,0.24734574510706558,CIELAB_D65,13.035923612519582,46.960350757604708,330.66192376819572,13.035923612519582,42.46692037796835,330.66192376819572,0.26863566478547529,0.11724796325913138,-0.063754714044805219,0.13346066256148104,331.46443569576422,true,0.2666233232253632,0.10601222161160849,-0.057521694602855625,0.12061233967141578,331.51596643910983,true,46.960350757604708,42.46692037796835,true,46.960350759909943,42.46692037796835,0,1,false,0,0,false,1.4933707385142836,0.013005458096051688,0,-4.4934303796363579,0,330.33232111135874,330.07057560925097,-0.2617455021077717,true,-0.0021396933360372703,-9.9572894932482396e-13,true
p3_r025_g000_b050,0.25,0,0.5,false,true,fixed_Lh_radial_boundary_clip,0.27549655064869777,0,0.50075909179112554,CIELAB_D65,19.482522760725118,78.216897228899128,313.44937014084212,19.482522760725118,73.697036327025941,313.44937014084212,0.33187470990395046,0.088853581582805041,-0.16274416494986235,0.18542012346377132,298.63325676109929,true,0.33005068807936411,0.087465277842562486,-0.153256313044033,0.1764586986122455,299.7139386223202,true,78.216897228899128,73.697036327025941,true,78.216897231023239,73.697036327025941,0,1,false,0,0,false,1.0230526321041711,0.0097608286881129304,0,-4.5198609018731872,0,283.6510818535491,285.09268447872779,1.4416026251786889,true,-0.0021396933360372755,-9.7645273407835297e-13,true
p3_r025_g000_b075,0.25,0,0.75,false,true,fixed_Lh_radial_boundary_clip,0.28363428277540081,0,0.76275804689047266,CIELAB_D65,27.59440331983172,108.19733387063197,309.34796886225053,27.59440331983172,104.56336019241135,309.34796886225053,0.40873588599999261,0.053696080983919002,-0.2409986550359845,0.24690812226855771,282.56070824325718,true,0.40747139871500526,0.057509947086409982,-0.23290873556342334,0.2399038830774407,283.87006143731247,true,108.19733387063197,104.56336019241135,true,108.19733387225335,104.56336019241135,0,1,false,0,0,false,0.62794255674402155,0.009032790256291166,0,-3.6339736782206131,0,266.60732139639333,267.91636916888768,1.3090477724943526,true,-0.0021396933360372395,-9.7685837141118988e-13,true
p3_r025_g000_b100,0.25,0,1,false,true,fixed_Lh_radial_boundary_clip,0.30535528168473647,0.046593957968349801,0.99999999999999989,CIELAB_D65,36.163932826501082,135.94860217900268,307.9091543395968,36.163932826501082,128.42098626984276,307.9091543395968,0.4890574886782269,0.026163564396283832,-0.30938099422984328,0.31048531638801347,274.83385699242399,true,0.48673794390775432,0.039088985439831449,-0.29230163344483551,0.29490370241357489,277.61687395208958,true,135.94860217900268,128.42098626984276,true,135.9486021790583,128.42098626984276,0,1,false,0,0,false,1.0833728741941229,0.021544172342414816,0,-7.5276159091599197,0,260.10167664503547,262.52442520742716,2.4227485623916891,true,-0.097274518182154823,-9.5501384578255966e-13,true
p3_r025_g025_b000,0.25,0.25,0,false,true,fixed_Lh_radial_boundary_clip,0.25203093081338923,0.24812457754434245,0,CIELAB_D65,25.815503604766956,42.169291476358609,102.13351711678965,25.815503604766956,35.324998763385864,102.13351711678965,0.35748600713379675,-0.031395518217958419,0.085193715933711098,0.090794536172437268,110.22980955562514,true,0.35794771953879195,-0.024918695270276903,0.073413067087848047,0.077526897224239527,108.74882219177911,true,42.169291476358609,35.324998763385864,true,42.16929147782934,35.324998763385864,0,1,false,0,0,false,2.4950738791524802,0.013451620759970702,0,-6.8442927129727451,0,100.7493435048209,98.612874173656039,-2.1364693311648608,true,-0.0049997763457081167,-9.7367287456702878e-13,true
p3_r025_g025_b025,0.25,0.25,0.25,true,false,identity_no_mapping_required,0.24999999999999997,0.24999999999999997,0.24999999999999997,CIELAB_D65,26.982917772686811,0,0,26.982917772686811,0,0,0.37054239459212779,-3.1204840491896412e-16,-6.805984563597083e-18,3.1212261763343859e-16,0,false,0.37054239459212779,-3.1204840491896412e-16,-6.805984563597083e-18,3.1212261763343859e-16,0,false,0,0,false,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,false,0.050876088171556783,0.050876088171556783,true
p3_r025_g025_b050,0.25,0.25,0.5,true,false,identity_no_mapping_required,0.24999999999999997,0.24999999999999997,0.51695976042529035,CIELAB_D65,30.354750119903425,43.311602364548548,297.43253932918799,30.354750119903425,43.311602364548548,297.43253932918799,0.40746756987620625,0.019823557023687828,-0.10950077749704074,0.11128069772214688,280.26144585359202,true,0.40746756987620625,0.019823557023687828,-0.10950077749704074,0.11128069772214688,280.26144585359202,true,43.311602364548548,43.311602364548548,true,81.803475928016596,77.775694847795407,0,0.55687837246980554,false,0,0,false,2.4076403726632293e-15,0,0,0,0,267.14442615800772,267.14442615800772,0,true,0.050876088171556789,0.050876088171556789,true
p3_r025_g025_b075,0.25,0.25,0.75,true,false,identity_no_mapping_required,0.25,0.24999999999999986,0.77901746481256784,CIELAB_D65,35.649326595882762,81.941095136293953,301.31424915458064,35.649326595882762,81.941095136293953,301.31424915458064,0.46298237259331321,0.017789260152711657,-0.20220376844859436,0.20298478206898571,275.02776005879855,true,0.46298237259331321,0.017789260152711657,-0.20220376844859436,0.20298478206898571,275.02776005879855,true,81.941095136293953,81.941095136293953,true,108.71724925132224,105.5655124496497,0,0.77621084040468613,false,0,0,false,0,0,0,0,0,261.99289157879377,261.99289157879377,0,true,0.050876088171556748,0.050876088171556748,true
